subj_idx,param,rhat
P024,t(1-back),1.003307209072599
P024,t(2-back),1.00663778910872
P024,t(3-back),1.0037846980106475
P024,st(0-back),1.0034241748962938
P024,st(1-back),1.0026553209451798
P024,st(2-back),1.0017584036797074
P024,st(3-back),1.0008144744749343
P025_real,a(0-back),1.0038950886279687
P025_real,a(1-back),1.0032163772479956
P025_real,a(2-back),1.0047752617360821
P025_real,a(3-back),1.0026920506197239
P025_real,v(0-back),1.0026422608929106
P025_real,v(1-back),1.003243992465366
P025_real,v(2-back),1.0003400246121867
P025_real,v(3-back),1.0002198237472655
P025_real,t(0-back),1.0036365667302298
P025_real,t(1-back),1.0072328546469227
P025_real,t(2-back),1.005596817188989
P025_real,t(3-back),1.002913151506704
P025_real,st(0-back),1.0020647291037212
P025_real,st(1-back),1.0034047277668312
P025_real,st(2-back),1.0046243634119223
P025_real,st(3-back),1.0021437381497897
P026,a(0-back),1.0080949421161052
P026,a(1-back),1.0113447525549846
P026,a(2-back),1.0215593318680118
P026,a(3-back),1.0012031159400532
P026,v(0-back),1.0030753525483669
P026,v(1-back),1.0084861657545159
P026,v(2-back),1.0048140045217238
P026,v(3-back),1.0002134162411738
P026,t(0-back),1.0064367894008819
P026,t(1-back),1.0098810545485384
P026,t(2-back),1.018875463527478
P026,t(3-back),1.0016795552487037
P026,st(0-back),1.0022897215892776
P026,st(1-back),1.0033319361932422
P026,st(2-back),1.0064134954339787
P026,st(3-back),1.0007874168381177
P027,a(0-back),1.009517270915995
P027,a(1-back),1.0015060870786903
P027,a(2-back),1.0006653979273141
P027,a(3-back),1.0045743379681318
P027,v(0-back),1.0029108380382554
P027,v(1-back),1.0003423020278095
P027,v(2-back),1.0005589580772234
P027,v(3-back),1.0003782503493515
P027,t(0-back),1.0086483735265843
P027,t(1-back),1.0014172132999601
P027,t(2-back),1.0010202285199827
P027,t(3-back),1.0055260605076577
P027,st(0-back),1.0023458498489437
P027,st(1-back),1.0011211893765855
P027,st(2-back),1.0003316065577605
P027,st(3-back),1.0016175272395786
P028,a(0-back),1.014299509621734
P028,a(1-back),1.0037197804278841
P028,a(2-back),1.0120314856700094
P028,a(3-back),1.0121719125257302
P028,v(0-back),1.0050898356255595
P028,v(1-back),1.0014212030867324
P028,v(2-back),1.008362827556448
P028,v(3-back),1.0066225674496365
P028,t(0-back),1.0106414863701765
P028,t(1-back),1.004211895153494
P028,t(2-back),1.0198558663593098
P028,t(3-back),1.0131061342030163
P028,st(0-back),1.0034666226693485
P028,st(1-back),1.0021022950511982
P028,st(2-back),1.014684680550055
P028,st(3-back),1.0118678368383196
P029,a(0-back),1.0070476892644982
P029,a(1-back),1.0186716341806905
P029,a(2-back),1.0058491219725196
P029,a(3-back),1.0045282645087312
P029,v(0-back),1.0068682227344925
P029,v(1-back),1.0069316688849008
P029,v(2-back),1.000287429955778
