Scenario - learning_JJ_english												
Logfile written - 05/17/2023 15:20:58												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
P004	642	Pulse	255	9330000	18143	NA						
P004	644	Response	100	9354534	12347	1						
P004	645	Pulse	255	9360000	5314	NA						
P004	647	Pulse	255	9390000	4816	NA						
P004	648	Response	100	9403827	8477	1						
P004	650	Pulse	255	9420000	5652	NA						
P004	652	Pulse	255	9450000	5321	NA						
P004	652	Response	100	9453824	9146	1						
P004	654	Pulse	255	9480000	15657	NA						
P004	656	Response	101	9503646	8972	1						
P004	657	Pulse	255	9510000	6160	NA						
P004	659	Pulse	255	9540000	5663	NA						
P004	660	Response	101	9553946	9443	1						
P004	662	Pulse	255	9570000	5665	NA						
P004	664	Pulse	255	9600000	5335	NA						
P004	664	Response	100	9602806	8140	1						
P004	666	Pulse	255	9630000	16669	NA						
P004	668	Response	100	9651826	8165	1						
P004	669	Pulse	255	9660000	8006	NA						
P004	671	Pulse	255	9690000	7509	NA						
P004	672	Response	101	9702886	10229	1						
P004	674	Pulse	255	9720000	6678	NA						
P004	676	Pulse	255	9750000	6347	NA						
P004	676	Response	100	9756086	12433	1						
P004	678	Pulse	255	9780000	13516	NA						
P004	680	Response	100	9805646	8831	1						
P004	681	Pulse	255	9810000	4186	NA						
P004	683	Pulse	255	9840000	3689	NA						
P004	684	Response	100	9856015	9538	1						
P004	686	Pulse	255	9870000	3525	NA						
P004	688	Pulse	255	9900000	3194	NA						
P004	688	Response	100	9904025	7219	1						
P004	690	Pulse	255	9930000	15529	NA						
P004	692	Response	101	9955615	10813	1						
P004	693	Pulse	255	9960000	4199	NA						
P004	695	Pulse	255	9990000	3702	NA						
P004	696	Response	101	10005546	9082	1						
P004	698	Pulse	255	10020000	4038	NA						
P004	700	Pulse	255	10050000	3707	NA						
P004	700	Response	100	10054675	8382	1						
P004	702	Pulse	255	10080000	14875	NA						
P004	704	Response	100	10104005	8550	1						
P004	705	Pulse	255	10110000	5879	NA						
P004	707	Pulse	255	10140000	5381	NA						
P004	708	Response	100	10157156	12371	1						
P004	710	Pulse	255	10170000	2384	NA						
P004	712	Pulse	255	10200000	2054	NA						
P004	712	Response	100	10206085	8139	1						
P004	714	Pulse	255	10230000	13389	NA						
P004	716	Pulse	255	10260000	13058	NA						
P004	716	Response	101	10260435	13493	1						
P004	718	Pulse	255	10290000	19060	NA						
P004	720	Response	100	10309645	8374	1						
P004	721	Pulse	255	10320000	10230	NA						
P004	723	Pulse	255	10350000	9733	NA						
P004	724	Picture	instruct_trial	10350433	0	1	40163	1	0	next	other	0
P004	724	Pulse	255	10380000	29567	NA						
